lsa,operator,technology,month,year,speed_mbps
Himachal Pradesh,AIRTEL,4G,2,2025,21.8818359375
Haryana,JIO,4G,2,2025,6.4697265625
Tamil Nadu,JIO,4G,2,2025,18.1806640625
Haryana,JIO,4G,2,2025,8.26171875
UP East,JIO,4G,2,2025,7.5546875
Orissa,JIO,4G,2,2025,55.9873046875
Rajasthan,CELLONE,4G,2,2025,1.9580078125
Tamil Nadu,JIO,4G,2,2025,13.4521484375
Karnataka,AIRTEL,4G,2,2025,0.392578125
Delhi,JIO,4G,2,2025,3.3583984375
West Bengal,AIRTEL,4G,2,2025,0.4404296875
Haryana,JIO,4G,2,2025,60.4140625
Haryana,JIO,4G,2,2025,8.7685546875
Gujarat,AIRTEL,4G,2,2025,5.6962890625
Assam,JIO,4G,2,2025,4.9853515625
Maharashtra,JIO,4G,2,2025,1.564453125
Andhra Pradesh,JIO,4G,2,2025,32.541015625
Tamil Nadu,CELLONE,4G,2,2025,11.2900390625
Haryana,AIRTEL,4G,2,2025,6.0732421875
Haryana,AIRTEL,4G,2,2025,1.1875
UP East,JIO,4G,2,2025,46.193359375
Haryana,AIRTEL,4G,2,2025,8.1416015625
UP East,JIO,4G,2,2025,5.765625
Haryana,JIO,4G,2,2025,0.76171875
Haryana,JIO,4G,2,2025,3.0986328125
Tamil Nadu,AIRTEL,4G,2,2025,37.6865234375
Haryana,AIRTEL,4G,2,2025,18.453125
West Bengal,AIRTEL,4G,2,2025,6.9541015625
UP West,JIO,4G,2,2025,9.34765625
Haryana,JIO,4G,2,2025,5.7705078125
Haryana,AIRTEL,4G,2,2025,0.7333984375
North East,JIO,4G,2,2025,0.287109375
Gujarat,Vi India,4G,2,2025,0.904296875
Haryana,JIO,4G,2,2025,8.9033203125
UP East,AIRTEL,4G,2,2025,101.6640625
Madhya Pradesh,JIO,4G,2,2025,6.888671875
Gujarat,AIRTEL,4G,2,2025,10.2080078125
Rajasthan,CELLONE,4G,2,2025,4.1533203125
Maharashtra,JIO,4G,2,2025,0.1298828125
Maharashtra,AIRTEL,4G,2,2025,1.373046875
Haryana,AIRTEL,4G,2,2025,32.158203125
Orissa,JIO,4G,2,2025,0.0703125
Haryana,AIRTEL,4G,2,2025,0.224609375
Haryana,JIO,4G,2,2025,69.6064453125
Haryana,JIO,4G,2,2025,8.6279296875
Haryana,JIO,4G,2,2025,8.544921875
Haryana,JIO,4G,2,2025,10.4658203125
Assam,JIO,4G,2,2025,2.7509765625
Assam,JIO,4G,2,2025,31.353515625
UP East,AIRTEL,4G,2,2025,4.1171875
Haryana,JIO,4G,2,2025,2.8671875
Haryana,JIO,4G,2,2025,0.28125
Haryana,JIO,4G,2,2025,0.4638671875
Haryana,JIO,4G,2,2025,0.451171875
Rajasthan,AIRTEL,4G,2,2025,67.0859375
Kerala,AIRTEL,4G,2,2025,7.486328125
Haryana,JIO,4G,2,2025,0.3193359375
Assam,JIO,4G,2,2025,13.0859375
Madhya Pradesh,JIO,4G,2,2025,0.8125
Haryana,JIO,4G,2,2025,0.201171875
Haryana,JIO,4G,2,2025,1.0322265625
Orissa,JIO,4G,2,2025,1.23828125
UP East,AIRTEL,4G,2,2025,58.9970703125
Tamil Nadu,AIRTEL,4G,2,2025,3.55859375
Haryana,AIRTEL,4G,2,2025,0.3046875
UP West,JIO,4G,2,2025,23.74609375
UP West,AIRTEL,4G,2,2025,23.2626953125
Maharashtra,AIRTEL,4G,2,2025,7.509765625
UP East,AIRTEL,4G,2,2025,50.634765625
Kerala,JIO,4G,2,2025,12.072265625
West Bengal,CELLONE,3G,2,2025,1.3115234375
Haryana,JIO,4G,2,2025,0.1572265625
UP West,AIRTEL,4G,2,2025,8.4033203125
Maharashtra,Vi India,4G,2,2025,16.0576171875
Maharashtra,Vi India,4G,2,2025,0.96484375
Rajasthan,JIO,4G,2,2025,41.693359375
Delhi,JIO,4G,2,2025,1.5302734375
Himachal Pradesh,CELLONE,4G,2,2025,4.9111328125
West Bengal,JIO,4G,2,2025,6.2919921875
Himachal Pradesh,CELLONE,3G,2,2025,2.87109375
Tamil Nadu,CELLONE,4G,2,2025,2.03515625
Maharashtra,CELLONE,4G,2,2025,0.8857421875
Punjab,Vi India,4G,2,2025,8.0478515625
Assam,JIO,4G,2,2025,18.873046875
UP East,CELLONE,4G,2,2025,4.041015625
Kerala,JIO,4G,2,2025,1.791015625
Haryana,JIO,4G,2,2025,11.3896484375
UP East,JIO,4G,2,2025,0.7060546875
Haryana,JIO,4G,2,2025,10.115234375
Tamil Nadu,CELLONE,3G,2,2025,6.8369140625
Kolkata,Vi India,4G,2,2025,1.0693359375
Tamil Nadu,JIO,4G,2,2025,19.6982421875
Andhra Pradesh,AIRTEL,4G,2,2025,6.96875
Punjab,JIO,4G,2,2025,3.4990234375
Mumbai,JIO,4G,2,2025,0.693359375
Delhi,AIRTEL,4G,2,2025,4.275390625
Madhya Pradesh,CELLONE,3G,2,2025,1.5693359375
UP East,Vi India,4G,2,2025,1.466796875
Haryana,JIO,4G,2,2025,3.646484375
Himachal Pradesh,JIO,4G,2,2025,21.6708984375
Karnataka,JIO,4G,2,2025,4.4384765625
Haryana,AIRTEL,4G,2,2025,8.47265625
Andhra Pradesh,JIO,4G,2,2025,19.1083984375
Karnataka,AIRTEL,4G,2,2025,32.978515625
Delhi,Vi India,4G,2,2025,1.8046875
Haryana,AIRTEL,4G,2,2025,2.1279296875
Chennai,AIRTEL,4G,2,2025,25.3291015625
Haryana,AIRTEL,4G,2,2025,28.4833984375
Maharashtra,JIO,4G,2,2025,2.74609375
Kerala,CELLONE,4G,2,2025,24.849609375
Assam,JIO,4G,2,2025,22.0947265625
Karnataka,AIRTEL,4G,2,2025,10.6259765625
Haryana,AIRTEL,4G,2,2025,0.548828125
Chennai,AIRTEL,4G,2,2025,19.9853515625
Gujarat,JIO,4G,2,2025,0.7412109375
Rajasthan,AIRTEL,4G,2,2025,99.1181640625
Rajasthan,CELLONE,4G,2,2025,13.0947265625
Haryana,JIO,4G,2,2025,1.189453125
Bihar,JIO,4G,2,2025,20.8134765625
Haryana,JIO,4G,2,2025,9.0009765625
Assam,AIRTEL,4G,2,2025,1.556640625
Haryana,JIO,4G,2,2025,8.9521484375
Karnataka,AIRTEL,4G,2,2025,11.0166015625
Rajasthan,JIO,4G,2,2025,8.8837890625
Karnataka,JIO,4G,2,2025,9.1962890625
Haryana,JIO,4G,2,2025,1.6611328125
West Bengal,JIO,4G,2,2025,35.8896484375
Rajasthan,CELLONE,4G,2,2025,14.279296875
Punjab,CELLONE,4G,2,2025,0.7060546875
Haryana,JIO,4G,2,2025,8.9873046875
UP West,CELLONE,4G,2,2025,2.919921875
Haryana,JIO,4G,2,2025,66.478515625
Haryana,JIO,4G,2,2025,39.572265625
Punjab,CELLONE,4G,2,2025,5.3984375
Haryana,JIO,4G,2,2025,68.134765625
UP West,Vi India,4G,2,2025,2.4267578125
UP East,JIO,4G,2,2025,0.0654296875
Kerala,AIRTEL,4G,2,2025,15.2216796875
Kerala,JIO,4G,2,2025,3.9482421875
Karnataka,AIRTEL,4G,2,2025,18.763671875
Mumbai,Vi India,4G,2,2025,8.9443359375
Mumbai,Vi India,4G,2,2025,17.3984375
Haryana,AIRTEL,4G,2,2025,10.1396484375
Haryana,AIRTEL,4G,2,2025,28.6396484375
Haryana,JIO,4G,2,2025,6.673828125
Haryana,AIRTEL,4G,2,2025,53.7138671875
Haryana,AIRTEL,4G,2,2025,6.1259765625
Kerala,Vi India,4G,2,2025,3.76171875
Haryana,AIRTEL,4G,2,2025,21.1220703125
Haryana,AIRTEL,4G,2,2025,18.630859375
Madhya Pradesh,JIO,4G,2,2025,2.919921875
Haryana,JIO,4G,2,2025,4.7138671875
Haryana,AIRTEL,4G,2,2025,19.1787109375
Haryana,AIRTEL,4G,2,2025,7.02734375
Haryana,JIO,4G,2,2025,21.0185546875
Haryana,AIRTEL,4G,2,2025,14.056640625
Haryana,AIRTEL,4G,2,2025,7.921875
Haryana,AIRTEL,4G,2,2025,2.951171875
Haryana,JIO,4G,2,2025,9.271484375
Haryana,AIRTEL,4G,2,2025,4.0322265625
Tamil Nadu,AIRTEL,4G,2,2025,8.443359375
Haryana,AIRTEL,4G,2,2025,0.953125
Haryana,AIRTEL,4G,2,2025,3.796875
Haryana,JIO,4G,2,2025,18.068359375
Haryana,AIRTEL,4G,2,2025,8.1533203125
Haryana,AIRTEL,4G,2,2025,3.4423828125
Haryana,AIRTEL,4G,2,2025,7.6455078125
Haryana,AIRTEL,4G,2,2025,23.6943359375
Haryana,AIRTEL,4G,2,2025,34.2783203125
Haryana,JIO,4G,2,2025,1.3642578125
Himachal Pradesh,JIO,4G,2,2025,0.470703125
Haryana,JIO,4G,2,2025,0.3017578125
Haryana,JIO,4G,2,2025,21.9736328125
Haryana,JIO,4G,2,2025,0.0576171875
Haryana,AIRTEL,4G,2,2025,9.7578125
Tamil Nadu,AIRTEL,4G,2,2025,5.708984375
Haryana,AIRTEL,4G,2,2025,37.7685546875
Haryana,AIRTEL,4G,2,2025,25.2666015625
Haryana,AIRTEL,4G,2,2025,19.185546875
Haryana,JIO,4G,2,2025,9.2724609375
Haryana,AIRTEL,4G,2,2025,14.0556640625
Haryana,AIRTEL,4G,2,2025,0.7578125
Haryana,AIRTEL,4G,2,2025,25.044921875
Haryana,AIRTEL,4G,2,2025,2.91796875
Haryana,JIO,4G,2,2025,1.615234375
Haryana,JIO,4G,2,2025,34.1064453125
Delhi,AIRTEL,4G,2,2025,33.15234375
Haryana,AIRTEL,4G,2,2025,14.72265625
Kolkata,Vi India,4G,2,2025,16.2412109375
Haryana,AIRTEL,4G,2,2025,3.6884765625
Haryana,AIRTEL,4G,2,2025,8.1142578125
Kolkata,AIRTEL,4G,2,2025,8.453125
Haryana,AIRTEL,4G,2,2025,18.8876953125
Haryana,AIRTEL,4G,2,2025,0.1474609375
Haryana,AIRTEL,4G,2,2025,4.2734375
Haryana,AIRTEL,4G,2,2025,40.1669921875
Madhya Pradesh,AIRTEL,4G,2,2025,0.0712890625
Haryana,AIRTEL,4G,2,2025,12.3857421875
Haryana,AIRTEL,4G,2,2025,8.720703125
Chennai,AIRTEL,4G,2,2025,14.1328125
Haryana,AIRTEL,4G,2,2025,1.3486328125
Haryana,JIO,4G,2,2025,2.2880859375
Haryana,JIO,4G,2,2025,13.6044921875
Haryana,JIO,4G,2,2025,10.6728515625
Haryana,AIRTEL,4G,2,2025,42.1474609375
Haryana,AIRTEL,4G,2,2025,30.216796875
Haryana,JIO,4G,2,2025,32.2685546875
Haryana,AIRTEL,4G,2,2025,44.310546875
Haryana,AIRTEL,4G,2,2025,29.8349609375
Haryana,JIO,4G,2,2025,1.9443359375
Bihar,JIO,4G,2,2025,0.6416015625
Haryana,AIRTEL,4G,2,2025,7.6533203125
Haryana,AIRTEL,4G,2,2025,31.49609375
Haryana,AIRTEL,4G,2,2025,0.9326171875
Haryana,AIRTEL,4G,2,2025,21.61328125
West Bengal,AIRTEL,4G,2,2025,27.302734375
Haryana,AIRTEL,4G,2,2025,0.076171875
Haryana,JIO,4G,2,2025,0.0986328125
Haryana,AIRTEL,4G,2,2025,7.5185546875
Haryana,JIO,4G,2,2025,4.259765625
Haryana,AIRTEL,4G,2,2025,33.4072265625
Haryana,AIRTEL,4G,2,2025,2.3720703125
Haryana,AIRTEL,4G,2,2025,12.2333984375
Haryana,JIO,4G,2,2025,17.734375
Haryana,JIO,4G,2,2025,0.1533203125
Haryana,AIRTEL,4G,2,2025,0.9970703125
Haryana,JIO,4G,2,2025,6.2861328125
Haryana,JIO,4G,2,2025,24.83984375
Haryana,JIO,4G,2,2025,1.4580078125
Haryana,JIO,4G,2,2025,23.4921875
Tamil Nadu,JIO,4G,2,2025,1.3876953125
Haryana,AIRTEL,4G,2,2025,17.5302734375
Haryana,AIRTEL,4G,2,2025,2.2060546875
Haryana,JIO,4G,2,2025,3.5361328125
Haryana,AIRTEL,4G,2,2025,9.6923828125
Haryana,AIRTEL,4G,2,2025,0.740234375
Haryana,AIRTEL,4G,2,2025,1.552734375
Haryana,JIO,4G,2,2025,26.02734375
Haryana,AIRTEL,4G,2,2025,3.8466796875
Haryana,AIRTEL,4G,2,2025,0.216796875
Haryana,AIRTEL,4G,2,2025,1.001953125
Haryana,AIRTEL,4G,2,2025,1.919921875
Haryana,AIRTEL,4G,2,2025,0.0791015625
Haryana,JIO,4G,2,2025,0.60546875
Maharashtra,JIO,4G,2,2025,9.71484375
Haryana,JIO,4G,2,2025,3.00390625
Haryana,AIRTEL,4G,2,2025,11.453125
Haryana,AIRTEL,4G,2,2025,25.46875
Haryana,AIRTEL,4G,2,2025,21.4169921875
Haryana,JIO,4G,2,2025,0.2314453125
Karnataka,JIO,4G,2,2025,0.6416015625
Haryana,JIO,4G,2,2025,26.7529296875
Haryana,AIRTEL,4G,2,2025,20.7255859375
Haryana,AIRTEL,4G,2,2025,1.61328125
Haryana,AIRTEL,4G,2,2025,16.341796875
Haryana,JIO,4G,2,2025,17.3212890625
Haryana,AIRTEL,4G,2,2025,20.4013671875
Haryana,AIRTEL,4G,2,2025,0.2421875
Haryana,AIRTEL,4G,2,2025,9.33984375
Haryana,AIRTEL,4G,2,2025,16.4853515625
Madhya Pradesh,AIRTEL,4G,2,2025,18.75
Haryana,AIRTEL,4G,2,2025,21.5400390625
Haryana,AIRTEL,4G,2,2025,12.7568359375
Haryana,AIRTEL,4G,2,2025,0.521484375
Haryana,AIRTEL,4G,2,2025,2.3623046875
Haryana,JIO,4G,2,2025,1.2314453125
Haryana,JIO,4G,2,2025,4.310546875
Haryana,AIRTEL,4G,2,2025,3.8583984375
Haryana,Vi India,4G,2,2025,18.6318359375
Haryana,JIO,4G,2,2025,13.0537109375
Haryana,JIO,4G,2,2025,21.521484375
Haryana,JIO,4G,2,2025,2.1240234375
Haryana,AIRTEL,4G,2,2025,11.1337890625
Haryana,AIRTEL,4G,2,2025,11.94140625
Haryana,AIRTEL,4G,2,2025,22.541015625
Haryana,JIO,4G,2,2025,0.6533203125
Haryana,JIO,4G,2,2025,0.3095703125
Haryana,AIRTEL,4G,2,2025,1.3125
Haryana,AIRTEL,4G,2,2025,0.7470703125
Haryana,JIO,4G,2,2025,8.93359375
Haryana,AIRTEL,4G,2,2025,11.0498046875
Haryana,JIO,4G,2,2025,5.9423828125
Haryana,JIO,4G,2,2025,30.1689453125
Haryana,JIO,4G,2,2025,9.0146484375
Haryana,AIRTEL,4G,2,2025,13.1474609375
Karnataka,JIO,4G,2,2025,13.740234375
Haryana,AIRTEL,4G,2,2025,3.53515625
Haryana,AIRTEL,4G,2,2025,1.787109375
Haryana,AIRTEL,4G,2,2025,1.0478515625
Haryana,AIRTEL,4G,2,2025,4.9912109375
Haryana,AIRTEL,4G,2,2025,50.8388671875
Haryana,AIRTEL,4G,2,2025,49.06640625
Haryana,JIO,4G,2,2025,38.1923828125
Haryana,AIRTEL,4G,2,2025,63.2041015625
Punjab,JIO,4G,2,2025,0.6455078125
Haryana,AIRTEL,4G,2,2025,5.2119140625
Haryana,AIRTEL,4G,2,2025,3.001953125
Haryana,JIO,4G,2,2025,0.4140625
Haryana,AIRTEL,4G,2,2025,5.70703125
Haryana,JIO,4G,2,2025,1.3623046875
Punjab,JIO,4G,2,2025,41.572265625
Punjab,JIO,4G,2,2025,9.5185546875
Maharashtra,AIRTEL,4G,2,2025,38.3955078125
Haryana,JIO,4G,2,2025,5.4814453125
Punjab,JIO,4G,2,2025,29.5341796875
North East,JIO,4G,2,2025,2.6708984375
Punjab,JIO,4G,2,2025,7.9951171875
Haryana,JIO,4G,2,2025,1.7060546875
Haryana,AIRTEL,4G,2,2025,35.2734375
Haryana,JIO,4G,2,2025,4.7265625
Haryana,AIRTEL,4G,2,2025,2.873046875
Haryana,JIO,4G,2,2025,2.6748046875
Delhi,AIRTEL,4G,2,2025,0.822265625
Punjab,JIO,4G,2,2025,12.3330078125
Haryana,AIRTEL,4G,2,2025,1.1279296875
Tamil Nadu,JIO,4G,2,2025,6.76953125
Haryana,AIRTEL,4G,2,2025,1.2880859375
Haryana,AIRTEL,4G,2,2025,29.53515625
Haryana,JIO,4G,2,2025,3.033203125
North East,JIO,4G,2,2025,7.759765625
Punjab,JIO,4G,2,2025,36.046875
Haryana,AIRTEL,4G,2,2025,1.484375
Punjab,JIO,4G,2,2025,8.59375
Haryana,AIRTEL,4G,2,2025,2.0712890625
Haryana,AIRTEL,4G,2,2025,7.330078125
Haryana,AIRTEL,4G,2,2025,4.3505859375
Punjab,JIO,4G,2,2025,8.41796875
Haryana,AIRTEL,4G,2,2025,8.103515625
Haryana,JIO,4G,2,2025,0.6181640625
Haryana,JIO,4G,2,2025,20.4296875
Haryana,JIO,4G,2,2025,11.0693359375
Gujarat,JIO,4G,2,2025,19.7109375
Haryana,AIRTEL,4G,2,2025,40.400390625
Haryana,JIO,4G,2,2025,11.5087890625
Haryana,AIRTEL,4G,2,2025,38.9150390625
Haryana,AIRTEL,4G,2,2025,0.09765625
Haryana,AIRTEL,4G,2,2025,23.435546875
Haryana,JIO,4G,2,2025,11.4462890625
Haryana,AIRTEL,4G,2,2025,20.4013671875
Haryana,JIO,4G,2,2025,0.400390625
Haryana,JIO,4G,2,2025,0.431640625
North East,JIO,4G,2,2025,24.8916015625
Haryana,JIO,4G,2,2025,21.8125
Punjab,JIO,4G,2,2025,9.501953125
Haryana,AIRTEL,4G,2,2025,4.8447265625
Haryana,AIRTEL,4G,2,2025,24.732421875
Punjab,JIO,4G,2,2025,8.5654296875
Haryana,JIO,4G,2,2025,10.4462890625
Haryana,AIRTEL,4G,2,2025,9.48828125
Haryana,AIRTEL,4G,2,2025,17.7509765625
Haryana,AIRTEL,4G,2,2025,10.8564453125
Haryana,JIO,4G,2,2025,2.40234375
Haryana,AIRTEL,4G,2,2025,0.0966796875
Haryana,AIRTEL,4G,2,2025,36.86328125
Haryana,AIRTEL,4G,2,2025,7.2470703125
Chennai,AIRTEL,4G,2,2025,2.4482421875
Haryana,AIRTEL,4G,2,2025,3.048828125
Haryana,AIRTEL,4G,2,2025,0.78515625
Kerala,Vi India,4G,2,2025,11.521484375
Kerala,JIO,4G,2,2025,0.3623046875
North East,JIO,4G,2,2025,8.205078125
Haryana,AIRTEL,4G,2,2025,1.2373046875
Haryana,AIRTEL,4G,2,2025,36.0419921875
Haryana,AIRTEL,4G,2,2025,8.978515625
Haryana,AIRTEL,4G,2,2025,5.5791015625
Haryana,AIRTEL,4G,2,2025,14.544921875
Haryana,JIO,4G,2,2025,4.923828125
Haryana,AIRTEL,4G,2,2025,4.2060546875
Haryana,JIO,4G,2,2025,0.3671875
Haryana,AIRTEL,4G,2,2025,11.7138671875
Haryana,AIRTEL,4G,2,2025,19.91015625
Punjab,Vi India,4G,2,2025,9.564453125
Haryana,AIRTEL,4G,2,2025,0.494140625
Haryana,JIO,4G,2,2025,0.1474609375
Haryana,JIO,4G,2,2025,3.8330078125
Maharashtra,AIRTEL,4G,2,2025,50.9033203125
Orissa,JIO,4G,2,2025,7.2685546875
Haryana,AIRTEL,4G,2,2025,15.796875
Haryana,AIRTEL,4G,2,2025,35.998046875
Haryana,AIRTEL,4G,2,2025,27.890625
Haryana,JIO,4G,2,2025,1.5625
Haryana,JIO,4G,2,2025,41.6455078125
Haryana,JIO,4G,2,2025,29.9423828125
Haryana,JIO,4G,2,2025,2.2919921875
Haryana,JIO,4G,2,2025,7.0810546875
Rajasthan,AIRTEL,4G,2,2025,123.9833984375
Haryana,JIO,4G,2,2025,1.6962890625
Haryana,AIRTEL,4G,2,2025,6.166015625
Haryana,AIRTEL,4G,2,2025,10.2421875
Haryana,AIRTEL,4G,2,2025,6.9873046875
Haryana,JIO,4G,2,2025,17.5234375
Haryana,AIRTEL,4G,2,2025,2.0419921875
Rajasthan,JIO,4G,2,2025,0.3291015625
Haryana,JIO,4G,2,2025,23.4697265625
Delhi,AIRTEL,4G,2,2025,58.0087890625
Haryana,AIRTEL,4G,2,2025,16.3759765625
Haryana,JIO,4G,2,2025,4.70703125
Haryana,JIO,4G,2,2025,17.1494140625
Haryana,AIRTEL,4G,2,2025,17.7451171875
Haryana,AIRTEL,4G,2,2025,2.1083984375
Maharashtra,AIRTEL,4G,2,2025,15.7041015625
Haryana,AIRTEL,4G,2,2025,0.23046875
Haryana,JIO,4G,2,2025,0.078125
Haryana,AIRTEL,4G,2,2025,36.74609375
Bihar,AIRTEL,4G,2,2025,11.73046875
Haryana,JIO,4G,2,2025,1.1875
Haryana,JIO,4G,2,2025,2.1357421875
Haryana,AIRTEL,4G,2,2025,1.3994140625
Haryana,AIRTEL,4G,2,2025,18.92578125
Haryana,JIO,4G,2,2025,6.30078125
Haryana,AIRTEL,4G,2,2025,17.162109375
Haryana,JIO,4G,2,2025,34.3037109375
Gujarat,JIO,4G,2,2025,0.61328125
Haryana,JIO,4G,2,2025,8.01171875
Haryana,AIRTEL,4G,2,2025,6.650390625
Haryana,AIRTEL,4G,2,2025,0.1708984375
Punjab,JIO,4G,2,2025,6.97265625
Haryana,JIO,4G,2,2025,28.830078125
Haryana,JIO,4G,2,2025,2.3935546875
Haryana,AIRTEL,4G,2,2025,5.2490234375
Kerala,CELLONE,4G,2,2025,2.1484375
Haryana,JIO,4G,2,2025,1.658203125
Haryana,AIRTEL,4G,2,2025,9.296875
Haryana,AIRTEL,4G,2,2025,2.0126953125
Haryana,JIO,4G,2,2025,0.85546875
Haryana,JIO,4G,2,2025,44.80078125
Haryana,JIO,4G,2,2025,11.349609375
Haryana,JIO,4G,2,2025,28.1025390625
Haryana,AIRTEL,4G,2,2025,0.900390625
Haryana,JIO,4G,2,2025,1.150390625
Haryana,AIRTEL,4G,2,2025,6.8779296875
Haryana,AIRTEL,4G,2,2025,2.8701171875
Gujarat,JIO,4G,2,2025,9.060546875
Haryana,JIO,4G,2,2025,1.90234375
Jammu & Kashmir,AIRTEL,4G,2,2025,17.0673828125
Haryana,JIO,4G,2,2025,0.609375
Haryana,AIRTEL,4G,2,2025,51.171875
Haryana,AIRTEL,4G,2,2025,24.9111328125
Haryana,JIO,4G,2,2025,9.7998046875
Haryana,JIO,4G,2,2025,0.8974609375
Mumbai,JIO,4G,2,2025,15.0576171875
Haryana,AIRTEL,4G,2,2025,0.173828125
Karnataka,AIRTEL,4G,2,2025,4.3359375
Haryana,AIRTEL,4G,2,2025,66.6328125
Haryana,JIO,4G,2,2025,9.7021484375
Maharashtra,AIRTEL,4G,2,2025,21.474609375
Haryana,AIRTEL,4G,2,2025,19.7666015625
Haryana,AIRTEL,4G,2,2025,0.4384765625
Haryana,JIO,4G,2,2025,1.8515625
Haryana,AIRTEL,4G,2,2025,44.6513671875
Haryana,AIRTEL,4G,2,2025,21.982421875
Haryana,AIRTEL,4G,2,2025,1.8125
Haryana,AIRTEL,4G,2,2025,3.9306640625
Haryana,JIO,4G,2,2025,9.09375
Haryana,AIRTEL,4G,2,2025,30.6513671875
Haryana,JIO,4G,2,2025,5.20703125
Haryana,AIRTEL,4G,2,2025,13.2294921875
Haryana,AIRTEL,4G,2,2025,36.99609375
Haryana,JIO,4G,2,2025,2.0341796875
Haryana,JIO,4G,2,2025,10.9736328125
Haryana,JIO,4G,2,2025,13.1748046875
Haryana,AIRTEL,4G,2,2025,5.3330078125
Haryana,AIRTEL,4G,2,2025,9.55859375
Haryana,JIO,4G,2,2025,31.546875
Haryana,AIRTEL,4G,2,2025,30.3046875
Haryana,JIO,4G,2,2025,30.71875
Haryana,AIRTEL,4G,2,2025,0.8701171875
Bihar,AIRTEL,4G,2,2025,6.236328125
Haryana,AIRTEL,4G,2,2025,35.2177734375
Haryana,AIRTEL,4G,2,2025,10.55859375
Delhi,AIRTEL,4G,2,2025,98.7490234375
Maharashtra,JIO,4G,2,2025,18.62109375
Haryana,AIRTEL,4G,2,2025,52.8271484375
Haryana,JIO,4G,2,2025,0.15625
Haryana,JIO,4G,2,2025,24.6455078125
Haryana,AIRTEL,4G,2,2025,24.0556640625
Haryana,JIO,4G,2,2025,12.0
Haryana,JIO,4G,2,2025,23.9619140625
Haryana,AIRTEL,4G,2,2025,7.4853515625
Haryana,JIO,4G,2,2025,0.234375
Haryana,AIRTEL,4G,2,2025,1.720703125
Haryana,AIRTEL,4G,2,2025,7.2431640625
Haryana,AIRTEL,4G,2,2025,6.8134765625
Haryana,JIO,4G,2,2025,5.095703125
Haryana,AIRTEL,4G,2,2025,0.59375
Haryana,AIRTEL,4G,2,2025,17.3701171875
Haryana,AIRTEL,4G,2,2025,3.88671875
Haryana,JIO,4G,2,2025,4.7939453125
Haryana,AIRTEL,4G,2,2025,6.59765625
Haryana,AIRTEL,4G,2,2025,4.1806640625
Haryana,AIRTEL,4G,2,2025,1.298828125
Haryana,JIO,4G,2,2025,0.2138671875
Haryana,JIO,4G,2,2025,3.9599609375
Haryana,JIO,4G,2,2025,0.642578125
Haryana,AIRTEL,4G,2,2025,34.86328125
Haryana,AIRTEL,4G,2,2025,0.5390625
Haryana,AIRTEL,4G,2,2025,4.67578125
Haryana,AIRTEL,4G,2,2025,18.43359375
Haryana,AIRTEL,4G,2,2025,14.49609375
Haryana,AIRTEL,4G,2,2025,1.201171875
Haryana,JIO,4G,2,2025,4.03515625
Haryana,AIRTEL,4G,2,2025,8.6396484375
Haryana,AIRTEL,4G,2,2025,3.8330078125
Haryana,JIO,4G,2,2025,29.7109375
Haryana,AIRTEL,4G,2,2025,20.244140625
Delhi,AIRTEL,4G,2,2025,6.6728515625
Haryana,JIO,4G,2,2025,0.3173828125
Haryana,AIRTEL,4G,2,2025,3.18359375
Haryana,AIRTEL,4G,2,2025,9.083984375
Haryana,AIRTEL,4G,2,2025,23.6279296875
Haryana,JIO,4G,2,2025,6.1142578125
Delhi,AIRTEL,4G,2,2025,6.537109375
Haryana,AIRTEL,4G,2,2025,2.9814453125
Haryana,JIO,4G,2,2025,15.341796875
Haryana,AIRTEL,4G,2,2025,34.9775390625
Kerala,JIO,4G,2,2025,6.4033203125
Haryana,AIRTEL,4G,2,2025,5.017578125
Haryana,AIRTEL,4G,2,2025,0.8935546875
Haryana,JIO,4G,2,2025,54.3544921875
Maharashtra,AIRTEL,4G,2,2025,3.5927734375
Haryana,JIO,4G,2,2025,1.5693359375
Haryana,AIRTEL,4G,2,2025,30.6015625
Maharashtra,JIO,4G,2,2025,7.623046875
UP East,AIRTEL,4G,2,2025,18.89453125
Kerala,Vi India,4G,2,2025,0.1826171875
Madhya Pradesh,JIO,4G,2,2025,4.7919921875
Haryana,AIRTEL,4G,2,2025,0.3759765625
Haryana,AIRTEL,4G,2,2025,0.08203125
Haryana,JIO,4G,2,2025,0.25
Haryana,JIO,4G,2,2025,5.166015625
Haryana,JIO,4G,2,2025,1.8359375
Haryana,AIRTEL,4G,2,2025,9.6318359375
Haryana,AIRTEL,4G,2,2025,15.455078125
Madhya Pradesh,AIRTEL,4G,2,2025,0.16796875
Haryana,AIRTEL,4G,2,2025,0.501953125
Haryana,AIRTEL,4G,2,2025,1.818359375
Haryana,AIRTEL,4G,2,2025,1.21484375
Haryana,JIO,4G,2,2025,0.5556640625
Haryana,JIO,4G,2,2025,8.2939453125
Haryana,AIRTEL,4G,2,2025,9.794921875
Andhra Pradesh,AIRTEL,4G,2,2025,10.9375
Haryana,JIO,4G,2,2025,30.3046875
Haryana,AIRTEL,4G,2,2025,21.3984375
Haryana,JIO,4G,2,2025,0.07421875
Haryana,AIRTEL,4G,2,2025,3.111328125
Haryana,JIO,4G,2,2025,5.4384765625
Haryana,AIRTEL,4G,2,2025,0.744140625
Haryana,AIRTEL,4G,2,2025,6.25390625
Haryana,JIO,4G,2,2025,1.5322265625
Haryana,JIO,4G,2,2025,1.91796875
